,count,mean,std,min,25%,50%,75%,max,median
X2.3.dihydro.farnesol,250.0,4.868574333568,1.6695204214835806,-1.81781854,4.8092969640000005,5.280054228999999,5.608706123,6.493343197,5.280054228999999
X2E.6Z.farnesal,250.0,2.2262999634359995,2.848997659031154,-1.81781854,-1.81781854,3.7571921980000003,4.34325159925,6.498679581,3.7571921980000003
caryophyllene.acetate,250.0,1.6832717111720001,3.1332729044565335,-1.81781854,-1.81781854,3.8585376499999997,4.353107629749999,6.231359202,3.8585376499999997
X14.hydroxy.alpha.humulene,250.0,2.935482705064,3.255451622974802,-1.81781854,-1.81781854,4.866172645000001,5.2357125925000005,6.762795932,4.866172645000001
X2Z.6E.farnesal,250.0,1.9730040072840003,3.0714171400059436,-1.81781854,-1.81781854,4.0006073105,4.51081451775,6.213955253,4.0006073105
X2Z.6Z.farnesol,250.0,2.1055835168640002,2.9158984647518267,-1.81781854,-1.81781854,3.935321112,4.39261579725,5.664698221,3.935321112
X2Z.6E.farnesol,250.0,3.8953501945920004,2.445341854482637,-1.81781854,3.92659690875,4.8471286965000004,5.3323086665,6.211925474,4.8471286965000004
ambroxide,250.0,3.8011971677600003,1.5184765681949055,-1.81781854,3.8768047654999997,4.13617034,4.355727364,5.370198014,4.13617034
benzyl.benzoate,250.0,3.4758474283400003,1.3480931260115299,-1.81781854,3.48046965125,3.8022051689999996,4.012170521750001,4.734663754,3.8022051689999996
X2E.6E.methyl.farnesoate,250.0,2.1798828136319996,2.7520433390975767,-1.81781854,-1.81781854,3.709003913,4.198262139500001,5.37934717,3.709003913
ethyl.tetradecanoate,250.0,5.371285996636,1.9134843761338693,-1.81781854,5.298161572750001,5.941554515,6.242373624,6.981381589,5.941554515
X2.ethylhexylsalicylate,250.0,2.840564118096,3.245588341031206,-1.81781854,-1.81781854,4.386086994499999,5.450301534499999,6.714831083,4.386086994499999
isopropyl.tetradecanoate,250.0,3.4409840297560006,1.8410116164751458,-1.81781854,3.6839145765,3.979932882,4.28091665275,5.143863899,3.979932882
ethyl.pentadecanoate,250.0,3.554198124304,2.3656313462742733,-1.81781854,3.564538478,4.545375697,4.91832862625,5.668396519,4.545375697
methyl.hexadecanoate,250.0,3.9348629131919997,1.9404495801017396,-1.81781854,4.050142355249999,4.4650161685,4.8974095664999995,5.857190276,4.4650161685
Z.Z.geranyl.linalool,250.0,3.9845859816199996,2.2342672192570765,-1.81781854,4.064809432500001,4.716605577999999,5.213295438249999,6.23804053,4.716605577999999
ethyl.hexadecanoate,250.0,4.762956791056,3.4814931933159077,-1.81781854,5.7425228,6.4185047655,6.8026583885,7.418010422,6.4185047655
manool.oxide,250.0,3.6258408564080002,1.0629625799090536,-1.81781854,3.41068569625,3.843638435,4.172764781,5.034735348,3.843638435
X13.epi.manool.oxide,250.0,3.035461112268,2.1594963023315765,-1.81781854,3.05846522,3.9925415749999997,4.2763712665,5.0064654,3.9925415749999997
isopropyl.hexadecanoate,250.0,0.9852877947839999,3.2312495857917796,-1.81781854,-1.81781854,-1.81781854,4.5901409135,5.56200701,-1.81781854
manool,250.0,5.176628518787999,1.5710125691386567,-1.81781854,5.133210711,5.542335523,5.8053457805,6.515499379,5.542335523
ethyl.octadecanoate,250.0,4.481167319528,2.0487146993844423,-1.81781854,4.43007582875,5.0555393875,5.45875427775,6.670236218,5.0555393875
ethyl.pentanoate,250.0,0.045131662232000005,0.15705762837693887,0.004320453,0.014753735,0.024263140500000002,0.04206169275,1.678874433,0.024263140500000002
X2.ethyl.3.methylpyrazine,250.0,0.039495841708,0.13654221034177033,4.4e-05,0.0037223144999999997,0.0072246575,0.0244509115,1.138483735,0.0072246575
esters_sum,250.0,0.816186781892,0.3121182813508205,-0.532634033,0.68085525775,0.8443047164999999,1.0153486085,1.468011129,0.8443047164999999
aroma_hops_sum,237.0,2.0750417262320675,0.647817549878851,0.672328375,1.591876625,1.989527505,2.42667446,3.862223736,1.989527505
acids_sum,250.0,0.28318596073200003,0.37394502953040365,-1.204001089,0.05583523575,0.1906697205,0.432689559,1.444068363,0.1906697205
sulfur_sum,250.0,0.6730513402520001,0.22663800854821697,-0.153867111,0.5485508244999999,0.693376794,0.8135755797499999,1.471061968,0.693376794
A_malt_all,250.0,0.03654743965999999,0.7168596686415579,-1.552114518,-0.48953148625,-0.1177937045,0.50832413025,2.876477347,-0.1177937045
A_malt_grain,250.0,0.017975827679999994,0.45722626512369574,-0.970581582,-0.26856794175,-0.07490461,0.21848048125000002,1.759243217,-0.07490461
